s,q,pixels,ang_width,num_r,num_theta,y_plus,y_minus
0.2,1e-06,4921,8.541666666666666e-06,1831300,457825,1.0000031709369992,0.9999968290730554
0.2,3e-06,4921,2.5625000000000003e-05,1831300,457825,1.0000095128411624,0.999990487249331
0.2,1e-05,4921,8.541666666666668e-05,1831300,457825,1.0000317098224594,0.9999682911830217
0.2,3e-05,4921,0.00025624999999999997,1831300,457825,1.0000951324838208,0.9999048765655077
0.2,0.0001,4921,0.0008541666666666666,1831300,457825,1.0003171434712348,0.9996829570768582
0.2,0.0003,4921,0.0025624999999999997,1831300,457825,1.0009517320578931,0.9990491728747631
0.2,0.001,4920,0.008541666666666666,1830920,457730,1.003175959364031,0.9968340954202642
0.3,1e-06,4764,2.0707644004347307e-05,1772864,443216,1.0000076873501837,0.9999923127089111
0.3,3e-06,4764,6.212293201304191e-05,1772864,443216,1.000023062227836,0.9999769383040179
0.3,1e-05,4764,0.00020707644004347306,1772864,443216,1.0000768761611087,0.999923129748381
0.3,3e-05,4764,0.0006212293201304192,1772864,443216,1.0002306462117956,0.9997694069736126
0.3,0.0001,4764,0.002070764400434731,1772864,443216,1.0007690275380874,0.9992315634108109
0.3,0.0003,4764,0.006212293201304192,1772860,443215,1.0023088554578143,0.9976964630759849
0.3,0.001,4764,0.020707644004347308,1772812,443203,1.0077168676491526,0.992342226376388
0.4,1e-06,4691,4.253968253968255e-05,1745692,436423,1.000015792176141,0.999984208073248
0.4,3e-06,4691,0.00012761904761904763,1745692,436423,1.0000473772765894,0.9999526249679104
0.4,1e-05,4691,0.00042539682539682546,1745692,436423,1.0001579329839094,0.9998420919549794
0.4,3e-05,4691,0.0012761904761904763,1745692,436423,1.0004738737683887,0.9995263506815988
0.4,0.0001,4691,0.004253968253968255,1745688,436422,1.001580452088317,0.9984220417990171
0.4,0.0003,4691,0.012761904761904763,1745672,436418,1.0047488378709781,0.9952736070030784
0.4,0.001,4691,0.04253968253968255,1745476,436369,1.015916738117561,0.9843326352245618
0.5,1e-06,4651,8.266666666666667e-05,1730804,432701,1.0000306889051935,0.9999693120365865
0.5,3e-06,4651,0.000248,1730804,432701,1.0000920695409203,0.9999079389350994
