s1,s2,alpha,pixels,ang_width,num_r,num_theta,y_plus,y_minus,min_source_radius,max_source_radius
0.2,0.2,0,5000,0.2,1857080,464270,1.0769986657270052,0.9285062613208713,8.680555555555556e-06,0.0008680555555555555
0.2,0.2,45,5000,0.2,1857080,464270,1.0769986657270052,0.9285062613208713,8.680555555555556e-06,0.0008680555555555555
0.2,0.2,90,5000,0.2,1857080,464270,1.0769986657270052,0.9285062613208713,8.680555555555556e-06,0.0008680555555555555
0.2,0.2,135,5000,0.2,1857080,464270,1.0769986657270052,0.9285062613208713,8.680555555555556e-06,0.0008680555555555555
0.2,0.2,180,5000,0.2,1857080,464270,1.0769986657270052,0.9285062613208713,8.680555555555556e-06,0.0008680555555555555
0.2,0.6,0,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,0.6,45,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,0.6,90,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,0.6,135,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,0.6,180,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,1.0,0,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,1.0,45,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,1.0,90,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,1.0,135,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,1.0,180,5000,0.2,1860468,465117,1.0769985822006392,0.9285063760849294,5.2734374999999986e-05,0.005273437499999999
0.2,1/0.6,0,5000,0.2,1859520,464880,1.0769985822006392,0.9283566312627378,5.2734374999999986e-05,0.005273437499999999
0.2,1/0.6,45,5000,0.2,1859520,464880,1.0769985822006392,0.9283566312627378,5.2734374999999986e-05,0.005273437499999999
0.2,1/0.6,90,5000,0.2,1859520,464880,1.0769985822006392,0.9283566312627378,5.2734374999999986e-05,0.005273437499999999
0.2,1/0.6,135,5000,0.2,1859520,464880,1.0769985822006392,0.9283566312627378,5.2734374999999986e-05,0.005273437499999999
0.2,1/0.6,180,5000,0.2,1859520,464880,1.0769985822006392,0.9283566312627378,5.2734374999999986e-05,0.005273437499999999
0.2,1/0.2,0,5000,0.2,1857948,464487,1.0769985822006392,0.9283566925328665,8.680555555555556e-06,0.0008680555555555555
0.2,1/0.2,45,5000,0.2,1857948,464487,1.0769985822006392,0.9283566925328665,8.680555555555556e-06,0.0008680555555555555
0.2,1/0.2,90,5000,0.2,1857948,464487,1.0769985822006392,0.9283566925328665,8.680555555555556e-06,0.0008680555555555555
0.2,1/0.2,135,5000,0.2,1857948,464487,1.0769985822006392,0.9283566925328665,8.680555555555556e-06,0.0008680555555555555
