JobID|JobName|Start|End|Elapsed|NodeList
8767307|single_lens_1e11|2025-06-06T13:05:28|2025-06-06T15:36:34|02:31:06|u176
8767307.batch|batch|2025-06-06T13:05:28|2025-06-06T15:36:34|02:31:06|u176
8767307.extern|extern|2025-06-06T13:05:28|2025-06-06T15:36:35|02:31:07|u176
8767308|triple_lens_1e11|2025-06-06T13:05:28|2025-06-06T16:12:48|03:07:20|u175
8767308.batch|batch|2025-06-06T13:05:28|2025-06-06T16:12:48|03:07:20|u175
8767308.extern|extern|2025-06-06T13:05:28|2025-06-06T16:12:48|03:07:20|u175
8772421|single_lens_1e11|2025-06-09T10:40:46|2025-06-09T13:18:35|02:37:49|u182
8772421.batch|batch|2025-06-09T10:40:46|2025-06-09T13:18:35|02:37:49|u182
8772421.extern|extern|2025-06-09T10:40:46|2025-06-09T13:18:35|02:37:49|u182
8772473|single_lens_1e11_cusp|2025-06-09T11:50:49|2025-06-09T15:09:18|03:18:29|u180
8772473.batch|batch|2025-06-09T11:50:49|2025-06-09T15:09:18|03:18:29|u180
8772473.extern|extern|2025-06-09T11:50:49|2025-06-09T15:09:18|03:18:29|u180
8775933|single_lens_offsetted|2025-06-10T14:46:40|2025-06-10T17:25:36|02:38:56|u182
8775933.batch|batch|2025-06-10T14:46:40|2025-06-10T17:25:36|02:38:56|u182
8775933.extern|extern|2025-06-10T14:46:40|2025-06-10T17:25:36|02:38:56|u182
8775934|binary_lens_offsetted|2025-06-10T14:47:11|2025-06-10T17:30:33|02:43:22|u182
8775934.batch|batch|2025-06-10T14:47:11|2025-06-10T17:30:33|02:43:22|u182
8775934.extern|extern|2025-06-10T14:47:11|2025-06-10T17:30:33|02:43:22|u182
8776051_0|triple_lens_offsetted_array|2025-06-10T15:33:06|2025-06-10T19:29:15|03:56:09|u068
8776051_0.batch|batch|2025-06-10T15:33:06|2025-06-10T19:29:15|03:56:09|u068
8776051_0.extern|extern|2025-06-10T15:33:06|2025-06-10T19:29:15|03:56:09|u068
8776051_1|triple_lens_offsetted_array|2025-06-10T15:33:06|2025-06-10T20:24:15|04:51:09|u144
8776051_1.batch|batch|2025-06-10T15:33:06|2025-06-10T20:24:15|04:51:09|u144
8776051_1.extern|extern|2025-06-10T15:33:06|2025-06-10T20:24:15|04:51:09|u144
8776051_2|triple_lens_offsetted_array|2025-06-10T15:33:06|2025-06-10T20:21:53|04:48:47|u145
