JobID|JobName|Start|End|Elapsed|NodeList
8757997|interactive|2025-06-03T15:20:06|2025-06-03T16:23:22|01:03:16|u183
8757997.extern|extern|2025-06-03T15:20:06|2025-06-03T16:23:22|01:03:16|u183
8757997.0|bash|2025-06-03T15:20:07|2025-06-03T16:23:22|01:03:15|u183
8758030|interactive|None|2025-06-03T16:23:10|00:00:00|None assigned
8758032|interactive|2025-06-03T16:24:17|2025-06-03T17:24:24|01:00:07|u183
8758032.extern|extern|2025-06-03T16:24:17|2025-06-03T17:24:24|01:00:07|u183
8758032.0|bash|2025-06-03T16:24:18|2025-06-03T17:24:24|01:00:06|u183
8759362|interactive|2025-06-04T12:39:55|2025-06-04T16:40:04|04:00:09|u183
8759362.extern|extern|2025-06-04T12:39:55|2025-06-04T16:40:04|04:00:09|u183
8759362.0|bash|2025-06-04T12:39:55|2025-06-04T16:40:04|04:00:09|u183
8761019|interactive|None|2025-06-04T15:04:02|00:00:00|None assigned
8761020|interactive|2025-06-04T15:04:15|2025-06-04T17:04:41|02:00:26|u065
8761020.extern|extern|2025-06-04T15:04:15|2025-06-04T17:04:41|02:00:26|u065
8761020.0|bash|2025-06-04T15:04:16|2025-06-04T17:04:41|02:00:25|u065
8764457|interactive|2025-06-05T11:16:03|2025-06-05T11:16:38|00:00:35|u183
8764457.extern|extern|2025-06-05T11:16:03|2025-06-05T11:16:38|00:00:35|u183
8764457.0|bash|2025-06-05T11:16:04|2025-06-05T11:16:38|00:00:34|u183
8764478|interactive|2025-06-05T11:17:35|2025-06-05T11:17:35|00:00:00|u183
8764478.extern|extern|2025-06-05T11:17:35|2025-06-05T11:17:35|00:00:00|u183
8764478.0|bash|2025-06-05T11:17:35|2025-06-05T11:17:35|00:00:00|u183
8765049|Python_script_test|2025-06-05T12:01:31|2025-06-05T12:01:36|00:00:05|u183
8765049.batch|batch|2025-06-05T12:01:31|2025-06-05T12:01:36|00:00:05|u183
8765049.extern|extern|2025-06-05T12:01:31|2025-06-05T12:01:36|00:00:05|u183
8765092|Python_script_test|2025-06-05T12:04:35|2025-06-05T12:04:51|00:00:16|u183
